internal_name,czech,english,french,spanish
"toast_nothing_to_save_hint","Nejdříve přidejte nebo otevřete horoskopy.","Add or open charts first.","Ajoutez ou ouvrez des thèmes.","Añada o abra cartas primero."
"toast_save_failed","Uložení selhalo","Save failed","Enregistrement échoué","Error al guardar"
"toast_workspace_loaded","Pracovní prostor načten","Workspace loaded","Espace de travail chargé","Espacio de trabajo cargado"
"toast_workspace_open_error","Nepodařilo se otevřít pracovní prostor","Failed to open workspace","Impossible d’ouvrir l’espace","No se pudo abrir el espacio"
"toast_workspace_saved","Pracovní prostor uložen","Workspace saved","Espace enregistré","Espacio guardado"
"transit_loading","Počítám tranzity…","Computing transits…","Calcul des transits…","Calculando tránsitos…"
"transit_results_count","Výsledky: {count} záznamů","Results: {count} entries","Résultats : {count} entrées","Resultados: {count} entradas"
"transit_showing_first_50","Zobrazeno prvních 50 záznamů.","Showing first 50 entries.","Affichage des 50 premières entrées.","Mostrando las primeras 50 entradas."
"transits","Tranzity a direkce","Transits","Transits","Tránsitos"
"transits_2","Dynamické tranzity a direkce","Transits","Transits","Tránsitos"
"transits_aspects","Použité Aspekty","Aspects","Aspects","Aspectos"
"transits_aspects_binovile","Binovil","Binovile","Binovile","Binovil"
"transits_aspects_biquintile","Bikvintil","Biquintile","Biquintile","Bicuintil"
"transits_aspects_biseptile","Biseptil","Biseptile","Biseptile","Biseptil"
"transits_aspects_biundecile","Biundecil","Biundecile","Biundécile","Biundécil"
"transits_aspects_conjunction","Konjunkce","Conjunction","Conjonction","Conjunción"
"transits_aspects_contra","Kontraparalela","Contra","Contre","Contra"
"transits_aspects_decile","Decil","Decile","Décile","Décil"
"transits_aspects_inconjunct","Kvinkunx/Inkonjunkt","Inconjunct","Inconjoint","Inconjunto"
"transits_aspects_major","Hlavní aspekty","Major aspects","Aspects majeurs","Aspectos mayores"
"transits_aspects_minor","Vedlejší aspekty","Minor aspects","Aspects mineurs","Aspectos menores"
"transits_aspects_novile","Novil","Novile","Novile","Novil"
"transits_aspects_opposition","Opozice","Opposition","Opposition","Oposición"
"transits_aspects_parallel","Paralela","Parallel","Parallèle","Paralelo"
"transits_aspects_quadrandecile","Kvartiundecil","Quadrandecile","Quadrandécile","Cuadrandécil"
"transits_aspects_quadranovile","Kvartinovil","Quadranovile","Quadranovile","Cuadranovil"
"transits_aspects_quinquedecile","Kvinundecil","Quinquedecile","Quinquedécile","Quinquedécil"
"transits_aspects_quintile","Kvintil","Quintile","Quintile","Quintil"
"transits_aspects_semisextile","Semisextil","Semisextile","Semi-sextile","Semisextil"
"transits_aspects_semisquare","Oktil/Semikvadratura","Semisquare","Semi-carré","Semicuadrado"
"transits_aspects_septile","Septil","Septile","Septile","Septil"
"transits_aspects_sesqui","Trioktil/Seskvikvadrát","Sesqui","Sesqui","Sesqui"
"transits_aspects_sextile","Sextil","Sextile","Sextile","Sextil"
"transits_aspects_square","Kvadratura","Square","Carré","Cuadratura"
"transits_aspects_subtitle","Nastavte aspekty a jejich orby pro výpočet tranzitů","Set aspects and orbs for transit calculation","Définissez les aspects et orbes pour le calcul des transits","Defina aspectos y orbes para el cálculo de tránsitos"
"transits_aspects_tridecile","Tridecil","Tridecile","Tridécile","Tridécil"
"transits_aspects_trine","Trinus/Trigon","Trine","Trigone","Trígono"
"transits_aspects_triseptile","Triseptil","Triseptile","Triseptile","Triseptil"
"transits_aspects_triundecile","Triundecil","Triundecile","Triundécile","Triundécil"
"transits_aspects_undecile","Undecil","Undecile","Undécile","Undécil"
"transits_black_moon_mean","☾ Černý Měsíc (střední)","☾ Black Moon (mean)","☾ Lune noire (moyenne)","☾ Luna negra (media)"
"transits_black_moon_natural","☾ Černý Měsíc (přirozený)","☾ Black Moon (natural)","☾ Lune noire (naturelle)","☾ Luna negra (natural)"
"transits_black_moon_osc","☾ Černý Měsíc (oskulační)","☾ Black Moon (osculating)","☾ Lune noire (osculante)","☾ Luna negra (osculante)"
"transits_composite_area","Oblast tranzitů","Transits composite area","Zone transits","Área de tránsitos"
"transits_general","Obecné","General","Général","General"
"transits_general_2","Obecné","General","Général","General"
"transits_general_crossings","Hledat přechody přes hroty domů","Crossings","Passages","Cruces"
"transits_general_crossings_2","Hledat přechody přes hroty znamení","Crossings","Passages","Cruces"
"transits_general_crossings_3","Hledat přechody přes hroty domů","Crossings","Passages","Cruces"
"transits_general_crossings_4","Hledat přechody přes hroty znamení","Crossings","Passages","Cruces"
"transits_general_item","OD","Item","Élément","Ítem"
"transits_general_item_2","DO","Item","Élément","Ítem"
"transits_general_item_3","OD","Item","Élément","Ítem"
"transits_general_item_4","DO","Item","Élément","Ítem"
"transits_general_item_date","Datum, den, měsíc, rok","Date","Date","Fecha"
"transits_general_item_date_2","Datum, den, měsíc, rok","Date","Date","Fecha"
"transits_general_item_date_3","Datum, den, měsíc, rok","Date","Date","Fecha"
"transits_general_item_date_4","Datum, den, měsíc, rok","Date","Date","Fecha"
"transits_general_item_time","čas","Time","Heure","Hora"
"transits_general_item_time_2","čas","Time","Heure","Hora"
"transits_general_item_time_3","čas","Time","Heure","Hora"
"transits_general_item_time_4","čas","Time","Heure","Hora"
"transits_general_item_timezone","časové pásmo","Timezone","Fuseau","Zona"
"transits_general_item_timezone_2","časové pásmo","Timezone","Fuseau","Zona"
"transits_general_item_timezone_3","časové pásmo","Timezone","Fuseau","Zona"
"transits_general_item_timezone_4","časové pásmo","Timezone","Fuseau","Zona"
"transits_general_precession","Korekce Precese","Precession","Précession","Precesión"
"transits_general_precession_2","Korekce Precese","Precession","Précession","Precesión"
"transits_general_transit","Volba Tranzitů","Transit","Transit","Tránsito"
"transits_general_transit_2","Hledat meze působení tranzitů","Transit","Transit","Tránsito"
"transits_general_transit_3","Volba Tranzit","Transit","Transit","Tránsito"
"transits_general_transit_4","Hledat meze působení tranzitů","Transit","Transit","Tránsito"
"transits_general_transit_primary","Primární direkce","Primary","Primaire","Primaria"
"transits_general_transit_primary_2","Primární direkce","Primary","Primaire","Primaria"
"transits_general_transit_secondary","Sekundární direkce","Secondary","Secondaire","Secundaria"
"transits_general_transit_secondary_2","Sekundární direkce","Secondary","Secondaire","Secundaria"
"transits_general_transit_transit","Tranzit","Transit","Transit","Tránsito"
"transits_general_transit_transit_2","Tranzit","Transit","Transit","Tránsito"
"transits_geo_jupiter","☊♃ Uzel Jupiteru","☊♃ Jupiter node","☊♃ Nœud de Jupiter","☊♃ Nodo de Júpiter"
"transits_geo_mars","☊♂ Uzel Marsu","☊♂ Mars node","☊♂ Nœud de Mars","☊♂ Nodo de Marte"
"transits_geo_mercury","☊☿ Uzel Merkuru","☊☿ Mercury node","☊☿ Nœud de Mercure","☊☿ Nodo de Mercurio"
"transits_geo_neptune","☊♆ Uzel Neptunu","☊♆ Neptune node","☊♆ Nœud de Neptune","☊♆ Nodo de Neptuno"
"transits_geo_pluto","☊♇ Uzel Pluta","☊♇ Pluto node","☊♇ Nœud de Pluton","☊♇ Nodo de Plutón"
"transits_geo_saturn","☊♄ Uzel Saturnu","☊♄ Saturn node","☊♄ Nœud de Saturne","☊♄ Nodo de Saturno"
"transits_geo_uranus","☊♅ Uzel Uranu","☊♅ Uranus node","☊♅ Nœud d'Uranus","☊♅ Nodo de Urano"
"transits_geo_venus","☊♀ Uzel Venuše","☊♀ Venus node","☊♀ Nœud de Vénus","☊♀ Nodo de Venus"
"transits_group_asteroids","Asteroidy","Asteroids","Astéroïdes","Asteroides"
"transits_group_geo_nodes","Geocentrické uzly planet","Geocentric planetary nodes","Nœuds planétaires géocentriques","Nodos planetarios geocéntricos"
"transits_group_hypotheticals","Hypotetická tělesa","Hypothetical bodies","Corps hypothétiques","Cuerpos hipotéticos"
"transits_group_luminaries","Světla","Luminaries","Luminaires","Luminarias"
"transits_group_lunar_apsides","Lunární apsidy","Lunar apsides","Apsides lunaires","Apsides lunares"
"transits_group_lunar_nodes","Lunární uzly","Lunar nodes","Nœuds lunaires","Nodos lunares"
"transits_group_personal_planets","Osobní planety","Personal planets","Planètes personnelles","Planetas personales"
"transits_group_social","Sociální planety","Social planets","Planètes sociales","Planetas sociales"
"transits_group_tno","Transneptunické objekty","Trans-Neptunian objects","Objets transneptuniens","Objetos transneptunianos"
"transits_group_transpersonal","Transpersonální planety","Transpersonal planets","Planètes transpersonnelles","Planetas transpersonales"
"transits_heading_general","Tranzity — Obecné","Transits — General","Transits — Général","Tránsitos — General"
"transits_heading_transited","Tranzitovaná tělesa","Transited bodies","Corps transités","Cuerpos transitados"
"transits_heading_transiting","Tranzitující tělesa","Transiting bodies","Corps en transit","Cuerpos en tránsito"
"transits_label_period","Období","Period","Période","Período"
"transits_label_type","Typ","Type","Type","Tipo"
"transits_menu_aspects_used","Použité aspekty","Aspects used","Aspects utilisés","Aspectos usados"
"transits_menu_general","Obecné","General","Général","General"
"transits_menu_transited","Tranzitovaná tělesa","Transited bodies","Corps transités","Cuerpos transitados"
"transits_menu_transiting","Tranzitující tělesa","Transiting bodies","Corps en transit","Cuerpos en tránsito"
"transits_natal","Tranzitovaná tělesa","Natal","Natal","Natal"
"transits_node_mean","☊ Střední lunární uzel","☊ Mean lunar node","☊ Nœud lunaire moyen","☊ Nodo lunar medio"
"transits_node_true","☊ Pravý lunární uzel","☊ True lunar node","☊ Nœud lunaire vrai","☊ Nodo lunar verdadero"
"transits_period_current","Aktuální","Current","Actuel","Actual"
"transits_period_custom","Nastavit období","Set period","Définir la période","Definir período"
"transits_period_from","Od","From","De","Desde"
"transits_period_to","Do","To","À","Hasta"
"transits_subtitle_general","Základní konfigurace výpočtu tranzitů","Basic transit calculation settings","Configuration de base des transits","Configuración básica de tránsitos"
"transits_subtitle_transited","Vyberte tělesa, která budou tranzitována","Select bodies that will be transited","Sélectionnez les corps qui seront transités","Seleccione los cuerpos que serán transitados"
"transits_subtitle_transiting","Vyberte tělesa, která budou považována za tranzitující","Select bodies treated as transiting","Sélectionnez les corps considérés en transit","Seleccione los cuerpos considerados en tránsito"
"transits_timezone_placeholder","UTC+1","UTC+1","UTC+1","UTC+1"
"transits_transiting","Tranzitující tělesa","Transiting","Transitant","En tránsito"
"transits_transiting_2","Tranzitující tělesa","Transiting","Transitant","En tránsito"
"transits_transiting_item","Položka","Item","Élément","Ítem"
"transits_transiting_item_2","Položka","Item","Élément","Ítem"
"transits_transiting_item_3","Položka","Item","Élément","Ítem"
"transits_transiting_item_4","Položka","Item","Élément","Ítem"
"transits_transiting_item_5","Položka","Item","Élément","Ítem"
"zodiac_type","Typ zvěrokruhu","Zodiac Type","Type de Zodiaque","Tipo de Zodíaco"
